item_id,date,description,engine,km,link,location,name,price,year
16190397,13.08.2016,"
www.proietti.ch
",Diesel,2500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/alfa-romeo-giulia-22-jtd-180-super--16190397.aspx?view=2&pi=8201&fcid=113&pr=1,La Chaux-de-Fonds,ALFA ROMEO Giulia 2.2 JTD 180 Super,39900.0,2016
16190203,13.08.2016,"
Neufahrzeug Executive - Paket HID Scheinwerfer,Fahrersitz und Aussenspiegel mit Memoryfunktion Pioneer - Navigationssystem mit DAB + und Rückfahrkamera,beheizbares Lederlenkrad ...
",Diesel,20,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/ssang-yong-rexton-rx220-e-xdi-sapphire-4wd-automatic--16190203.aspx?view=2&pi=8201&fcid=113&pr=1,Reinach,SSANG YONG Rexton RX220 e-XDi Sapphire 4WD Automatic,39900.0,2018
16189287,13.08.2016,"
[3NJ] Rücksitzanlage 3-sitzig (2+1), Lehne geteilt umklappbar zu 1/3, 2/3 oder komplett, [7X8] Ultraschall-Einparkhilfe vorne undhinten mit Rückfahrkamera, [B07] S line competition plus ...
",Diesel,12000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-a5-sportback-20-tdi-quattro-s-tronic--16189287.aspx?view=2&pi=8201&fcid=113&pr=1,Hinterkappelen - BERN ,AUDI A5 Sportback 2.0 TDI quattro S-tronic,44900.0,2017
16188930,13.08.2016,"
Modell 2017! FR Paket, Navigation, Xenon, Tempomat, Bluetooth, Parksenor hinten, Klimatronic, Sitzheizung, Klappbare Aussenpiegel, etc.Ausstattung:AlufelgenEingebautes Navigationss...
",Essence,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/seat-ibiza-10-tsi-110-fr--16188930.aspx?view=2&pi=8201&fcid=113&pr=1,Wattwil,SEAT IBIZA 1.0 TSI 110 FR,18700.0,2019
16179863,12.08.2016,"
* GUTER ZUSTAND  * M-SPORT PAKET * XENON * NAVI * LEDER * ABSTANDSREGELTEMPOMAT * SCHIEBE-DACH * AUS 1HAND * CH-FAHRZEUG * 4X4 ** GUTER ZUSTAND *  M-SPORT PAKET * 12 MONATE GARANTIE * ...
",Essence,110000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-750i-xdrive-m-sportpaket--16179863.aspx?view=2&pi=8201&fcid=113&pr=1,Killwangen,BMW 750i xDrive M-Sportpaket,25900.0,2012
16179143,12.08.2016,"
Servicegepflegt guter ZustandAusstattung:AlufelgenElektrische SitzverstellungManuelle KlimaanlageSitzbezug LederSitzheizungStabilitätskontrolleSportsitzeEigenschaften:...
",Essence,162000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-z3-28i-coup%c3%a9--16179143.aspx?view=2&pi=8201&fcid=113&pr=1,Kirchberg,BMW Z3 2.8i Coupé,16800.0,1999
16179127,12.08.2016,"
Besten Dank für Ihr Interesse an unserem Alfa Romeo Guilia  - Parkkamera- Regensensor- Hi-Fi System- Navigation + bluethooth- DAB- Fahrassitents Packet PLUS- Sport Packet...
",Diesel,25000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/alfa-romeo-giulia-22-jtdm-super-automatic--16179127.aspx?view=2&pi=8201&fcid=113&pr=1,Hinterkappelen - BERN ,ALFA ROMEO Giulia 2.2 JTDM Super Automatic,29900.0,2016
16178668,12.08.2016,"
Mercedes Benz SL63 AMG ICW Edition, 1 von nur 200 Stück weltweit, 12 Monate Garantie, sehr gepflegtes Fahrzeug mit Vollausstattung, frisch ab Service und MFK - Exterieur: designo magn...
",Essence,18100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-sl-63-amg-edition-iwc-speedshift-mct--16178668.aspx?view=2&pi=8201&fcid=113&pr=1,Baar,MERCEDES-BENZ SL 63 AMG Edition IWC Speedshift MCT,99500.0,2009
16178221,12.08.2016,"
- Garantie de 12 mois- Expertisée 20.08.2018  - Financement possible  Garantie de 12 mois / Expertisée / Financement possible /Equipement:Aide au parcageClimatisation manuel...
",Essence,103000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mini-mini-r56-14i-one--16178221.aspx?view=2&pi=8201&fcid=113&pr=1,Bussigny-Lausanne,MINI MINI R56 1.4i One,5500.0,2009
16172022,11.08.2016,"
Honda accord 2.4 type-s 2009 en très bonne état avec pneus hiver sur jante alu et pneus ete , tout service fait chez weber expertise du jour
",Essence,98000,"https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/honda-accord,-2009,-98'000-km--16172022.aspx?view=2&pi=8201&fcid=113&pr=1",Meyrin,"Honda Accord, 2009, 98'000 km",8300.0,2009
